time,mean,max,min,hor,ver,horabs,verabs
20220406_153415,0.193003513,0.418971628,0.006502683,-0.04350178,0.18250988,0.050750673,0.18285912
20220406_153416,0.227745051,0.654916883,0.004718526,-0.040503617,0.21957915,0.0489978,0.21975496
20220406_153416,0.196137352,0.455438137,0.001711165,-0.04138702,0.18560366,0.050543442,0.18567581
20220406_153416,0.21078953,0.409303606,0.001398905,-0.045055024,0.20067437,0.052052613,0.20089866
20220406_153416,0.207640478,0.445890158,0.001440416,-0.048618793,0.19624501,0.05620381,0.19630358
20220406_153417,0.232591743,0.487351328,0.003373429,-0.024234874,0.22650197,0.04060731,0.2267869
20220406_153417,0.235703716,0.493202269,0.003789875,-0.029640347,0.22872975,0.043174755,0.22898535
20220406_153417,0.2207521,0.429117173,0.00635917,-0.03951819,0.21268971,0.0476503,0.21286772
20220406_153418,0.238526279,0.451129079,0.001646237,-0.03712687,0.22939879,0.051502604,0.22943243
20220406_153418,0.274551327,0.458267927,0.029536283,0.01181028,0.26980057,0.03950565,0.2698092
20220406_153418,0.273327166,0.496892631,0.002070713,-0.009793237,0.2695977,0.033326168,0.26984617
20220406_153419,0.237842304,0.457900524,0.001059485,-0.007281681,0.2333057,0.03450233,0.23334451
20220406_153419,0.240069538,0.461976975,0.000717249,-0.001926276,0.23527785,0.034597255,0.23560683
20220406_153419,0.239391079,0.487701774,0.03985294,-0.010941886,0.23437917,0.037404627,0.23438057
20220406_153420,0.228050368,0.442849249,0.00372318,-0.033442993,0.22049318,0.04638291,0.22052953
20220406_153420,0.233200775,0.49976173,0.001082108,-0.014525738,0.22809839,0.037424996,0.22816244
20220406_153420,0.225592208,0.438708216,0.002061724,-0.04277454,0.21722853,0.048960365,0.21736094
20220406_153421,0.2225502,0.504518628,0.00134543,-0.065493405,0.2066346,0.06949493,0.20700039
20220406_153421,0.232031989,0.462511539,0.001018699,-0.044317547,0.22226784,0.05378477,0.22237657
20220406_153421,0.224016135,0.45758909,0.001089024,-0.06304897,0.20995021,0.06570799,0.20999937
20220406_153422,0.213531098,0.441478044,0.00439843,-0.07255549,0.1950008,0.07519611,0.19517925
20220406_153422,0.250971991,0.530981958,0.001363021,-0.035368714,0.24397229,0.046561364,0.24397448
20220406_153422,0.250062043,0.458066225,0.002942246,-0.025419611,0.244521,0.04094519,0.24454059
20220406_153422,0.250773935,0.484791607,0.004814061,-0.017170595,0.24600385,0.03554231,0.24610746
20220406_153423,0.245892626,0.490284503,0.016306296,-0.009899829,0.2417331,0.03432033,0.2417353
20220406_153423,0.248752756,0.572593629,0.004277229,-0.019791828,0.2436951,0.036998644,0.24391785
20220406_153423,0.242469172,0.465341002,0.006254137,-0.013052061,0.23761076,0.036617875,0.23768462
20220406_153424,0.260099389,0.510304153,0.001312194,0.000531381,0.2554,0.034404777,0.25591
20220406_153424,0.260620415,0.500707388,0.002929996,-0.000527746,0.25610554,0.035911065,0.25619888
20220406_153424,0.255702526,0.470333308,0.002525851,0.004385862,0.25131878,0.036329336,0.25132197
20220406_153425,0.258974234,0.461227566,0.001361177,-0.001596771,0.25490922,0.035372816,0.2549438
20220406_153425,0.271150157,0.475919455,0.001441196,0.008201012,0.26698613,0.035745826,0.26701897
20220406_153425,0.250632907,0.464584917,0.002844963,-0.007586181,0.24634203,0.033412702,0.24641375
20220406_153426,0.258824462,0.546563387,0.000984913,-0.011718784,0.25278446,0.04124965,0.2534462
20220406_153426,0.254105857,0.501456916,0.002368015,-0.01921177,0.24898636,0.03874739,0.2490213
20220406_153426,0.258110147,0.504845619,0.013521778,-0.033976696,0.25155252,0.046568185,0.25155488
20220406_153427,0.250348245,0.460276574,0.002673391,-0.013943803,0.24564862,0.035329793,0.24576157
20220406_153427,0.252575301,0.456650347,0.01682787,-0.017164014,0.24737225,0.03870957,0.2473756
20220406_153427,0.270088468,0.499596059,0.001953018,-0.006703244,0.26603732,0.034644056,0.26620466
20220406_153428,0.260803846,0.507297575,0.034861084,0.010425682,0.25629196,0.037111618,0.25629205
20220406_153428,0.264759577,0.530486882,0.005132116,-0.010088593,0.26048467,0.035881992,0.26051646
20220406_153428,0.259641972,0.482696533,0.019392394,-0.015336865,0.25544214,0.035307102,0.2554468
20220406_153429,0.265676519,0.476515085,0.001155701,-0.011723612,0.26115423,0.037619706,0.26121604
20220406_153429,0.297152989,0.523832679,0.017116504,-0.013482731,0.29355237,0.03545192,0.29355237
20220406_153429,0.274086913,0.548983276,0.000874173,-0.014253547,0.2699017,0.036608033,0.26994747
20220406_153429,0.275524197,0.500023186,0.00354158,-0.020179864,0.2706216,0.039065752,0.2706232
20220406_153430,0.291819271,0.516207218,0.01462651,-0.004289512,0.28781492,0.03544283,0.28783694
20220406_153430,0.278664666,0.610276163,0.013826807,-0.021210022,0.2735881,0.040708516,0.27363205
20220406_153430,0.268216062,0.494006455,0.000767361,-0.049195006,0.259008,0.05522628,0.2590644
20220406_153431,0.288326167,0.513863802,0.002256236,-0.006060143,0.2841241,0.037335686,0.28413257
20220406_153431,0.254125804,0.582331061,0.00253962,-0.016122684,0.24945112,0.036929145,0.24947171
20220406_153431,0.285319038,0.590892375,0.003778256,0.001773762,0.28125396,0.03444826,0.28162742
20220406_153432,0.227382148,0.487060696,0.005366841,-0.03474792,0.21945503,0.046551637,0.21946663
20220406_153432,0.25674262,0.487805873,0.02179132,-0.018668775,0.25188068,0.036776006,0.25190723
20220406_153432,0.264328109,0.496329039,0.020603625,-0.039276198,0.2575762,0.048108406,0.25757965
20220406_153433,0.288168296,0.539561391,0.040278789,-0.020123642,0.28356045,0.039811622,0.2835605
20220406_153433,0.254901228,0.522358358,0.007388989,-0.007724504,0.25089496,0.034990404,0.25093004
20220406_153433,0.273322407,0.495775968,0.005534598,-0.004712707,0.26933667,0.034635782,0.26937872
20220406_153434,0.272895508,0.668355346,0.001173335,-0.017454734,0.26809686,0.039909035,0.2681505
20220406_153434,0.284921014,0.614341497,0.034427281,-0.012599755,0.28073412,0.037067275,0.2807544
20220406_153434,0.293773258,0.534798622,0.002728151,-0.013480981,0.28921083,0.03803481,0.28936926
20220406_153435,0.296404454,0.519386292,0.016682081,-0.00366629,0.29255527,0.036025897,0.2925623
20220406_153435,0.317619709,0.584803462,0.020224597,0.02713869,0.3130611,0.04069999,0.31307453
