time,magmean,magmax,magmin,hor,ver,hor1,ver1
20220215_154943,0.238486789,0.867291987,0.00024753,-0.16708477,0.11237287,0.17523119,0.13352448
20220215_154943,0.245713933,0.709167123,0.001075678,-0.16151632,0.12330243,0.17414732,0.14538422
20220215_154944,0.243299368,0.745817244,0.000701882,-0.17934038,0.10736842,0.18644857,0.12992495
20220215_154944,0.243734503,0.758654058,0.001540909,-0.16372027,0.11948745,0.17704672,0.13952138
20220215_154945,0.256027029,0.654610157,0.0004471,-0.17339948,0.1421442,0.18026483,0.15521976
20220215_154945,0.244187299,0.684983134,0.000507578,-0.17165706,0.10735976,0.1810504,0.13361283
20220215_154946,0.236788137,0.719707251,0.000275683,-0.14527541,0.12976927,0.16250236,0.14757489
20220215_154946,0.252951578,0.802039027,0.000401851,-0.15243058,0.15484464,0.16261883,0.16643108
20220215_154946,0.246616477,0.70094651,0.00046536,-0.16826285,0.12826061,0.17981572,0.14281647
20220215_154947,0.271207199,0.811531305,0.000276362,-0.15305041,0.17828472,0.16662307,0.18851894
20220215_154947,0.281529961,0.767645121,0.001214679,-0.17077565,0.17931764,0.18138103,0.18993413
20220215_154948,0.291480361,0.777186632,0.001307985,-0.17804956,0.1895233,0.18530911,0.19920349
20220215_154948,0.279118977,0.782207549,0.000768479,-0.20204055,0.14966509,0.2075103,0.16096573
20220215_154948,0.280195309,0.751164734,0.000687117,-0.1712437,0.17616396,0.18265986,0.18647283
20220215_154949,0.303758575,0.828801632,0.001013293,-0.19055018,0.1961003,0.20018628,0.20177837
20220215_154949,0.282243979,0.813274682,0.000890898,-0.22460462,0.10883586,0.22851601,0.13486756
20220215_154950,0.285620432,0.756818235,0.000878693,-0.20854422,0.13690443,0.21445352,0.15614194
20220215_154950,0.263339507,0.87791276,0.000373366,-0.18716617,0.13419785,0.19318491,0.15203552
20220215_154950,0.279423267,0.790513337,0.000244926,-0.22009377,0.11744089,0.22276028,0.13974701
20220215_154951,0.275541101,0.717444539,0.000604114,-0.17065082,0.16758038,0.18357553,0.17801897
20220215_154951,0.266885834,0.743800998,0.000953225,-0.18672758,0.13758723,0.19160576,0.1544642
20220215_154952,0.268051284,0.912720799,0.000929033,-0.18799731,0.13273305,0.19507322,0.15503985
20220215_154952,0.270830228,0.745793581,0.001601193,-0.19808991,0.1308539,0.20477901,0.14888956
20220215_154953,0.275080034,0.695698619,0.000818161,-0.19168316,0.14578694,0.19828871,0.16286896
20220215_154953,0.281999474,0.841585457,9.17E-05,-0.19305737,0.15835416,0.2033344,0.16730846
20220215_154953,0.275372743,0.717911422,0.000238456,-0.2083551,0.12583746,0.21435231,0.14337018
20220215_154954,0.285341376,0.765901744,0.000621679,-0.20808491,0.14614746,0.21487163,0.15969922
20220215_154954,0.296176427,0.770926178,0.000471924,-0.20164658,0.17915861,0.2066035,0.18766512
20220215_154955,0.293600483,0.865565121,0.000571446,-0.2201983,0.14393945,0.22336693,0.16008893
20220215_154955,0.317376855,0.888401985,0.00162626,-0.243373,0.15990646,0.24584267,0.17190805
20220215_154956,0.293092166,0.754490435,0.000884663,-0.21313767,0.15362875,0.21826562,0.16635919
20220215_154956,0.295268266,0.828924358,0.001014618,-0.20403638,0.17009737,0.214815,0.17764573
20220215_154956,0.324751696,0.889634848,0.000376392,-0.22297607,0.19493628,0.2277023,0.20289253
20220215_154957,0.33009192,0.900812507,0.000468098,-0.23079753,0.20071818,0.2334985,0.20690756
20220215_154957,0.337918148,0.811335981,0.000657435,-0.24728408,0.19411354,0.25073427,0.1998785
20220215_154958,0.312699207,0.804458916,0.000636006,-0.22017641,0.17951018,0.22267096,0.19326404
20220215_154958,0.301410098,0.849668443,0.002666072,-0.19629215,0.19020617,0.20288077,0.19766828
20220215_154959,0.298498524,0.840899169,0.000869972,-0.20141605,0.17604049,0.21023421,0.18509164
20220215_154959,0.288946746,0.849972963,0.000152827,-0.19689839,0.16560376,0.20223717,0.178292
20220215_154959,0.298413455,0.811679661,0.000383392,-0.2092828,0.16636409,0.21482435,0.17796311
20220215_155000,0.303589622,0.882454872,0.00058033,-0.20671368,0.18152106,0.2142054,0.19201592
20220215_155000,0.327576728,0.864143252,0.000867825,-0.26043865,0.15844175,0.26335979,0.16610065
20220215_155001,0.305844702,0.831534147,0.001799155,-0.2373349,0.14401697,0.24076878,0.158282
20220215_155001,0.324794899,0.870332956,0.000630277,-0.25392714,0.16179745,0.25556916,0.1718616
20220215_155002,0.314608261,0.714683175,0.001203555,-0.24117184,0.15727833,0.24444924,0.16798821
20220215_155002,0.32402041,1.034546733,0.001134544,-0.23869991,0.17907389,0.24328764,0.18506946
20220215_155002,0.326870199,0.829417408,0.001454328,-0.24654967,0.17299178,0.24871862,0.18318065
20220215_155003,0.317903463,0.889112294,0.001067412,-0.24801354,0.15422769,0.2507934,0.16755064
20220215_155003,0.318704559,0.86092639,0.001670531,-0.24408723,0.15852605,0.2481081,0.17048076
20220215_155004,0.333267323,0.72155273,0.001218348,-0.2497627,0.17973244,0.25322157,0.1889336
20220215_155004,0.340972582,0.856463552,0.000880003,-0.26635644,0.17222853,0.27051556,0.18012026
