time,magmean,max,min,hor,ver,horabs,verabs
20220125_140354,8.954705326,15.9317255,0.036789022,8.215203,-1.4187727,8.2266865,2.8548884
20220125_140355,8.850389698,15.58326912,0.049302761,8.098956,-1.6714046,8.113912,2.8607945
20220125_140355,6.931736935,15.91304111,0.009207922,6.052521,-1.640701,6.089422,2.706025
20220125_140356,8.878319364,16.11330795,0.025955277,8.035653,-2.1755295,8.055011,3.0477946
20220125_140356,8.813938888,16.32208061,0.049913716,7.9267826,-2.3823066,7.94504,3.1101024
20220125_140357,8.774441018,16.53941536,0.015336738,7.847765,-2.5385602,7.8687077,3.1600668
20220125_140357,8.726498702,16.81147766,0.03477443,7.756503,-2.7344737,7.777381,3.2419195
20220125_140358,8.789874787,17.12563705,0.010782815,7.7525425,-3.0102036,7.7714214,3.362264
20220125_140358,8.756581142,17.33383751,0.040912107,7.675874,-3.1583998,7.7001324,3.4172204
20220125_140358,8.65558818,17.4131279,0.024422623,7.52478,-3.3015366,7.5493007,3.47884
20220125_140359,8.699393045,17.72790527,0.031171592,7.498893,-3.5329812,7.519712,3.6277165
20220125_140359,8.704991051,18.05635071,0.02055284,7.4496946,-3.6762443,7.4708576,3.7423518
20220125_140400,8.707195852,18.67196655,0.01706282,7.346985,-3.859172,7.370573,3.907082
20220125_140400,8.719816877,18.69199181,0.015345697,7.281874,-4.02815,7.30858,4.0525227
20220125_140401,8.721428308,18.16081047,0.036610689,7.189663,-4.21695,7.2121572,4.231447
20220125_140401,8.647598543,17.65185738,0.045819484,7.027974,-4.3722544,7.0545363,4.386627
20220125_140402,8.71086405,17.92903137,0.023024494,7.0159016,-4.52513,7.0432515,4.5403633
20220125_140402,8.714555518,17.53754044,0.015336405,6.9347696,-4.6666217,6.9622874,4.677247
20220125_140403,8.691197793,17.55849075,0.041687541,6.8064203,-4.8250113,6.832262,4.836193
20220125_140403,8.695230649,17.84261513,0.054053284,6.719838,-4.967351,6.7469525,4.976538
20220125_140404,8.686683298,17.62781143,0.029357191,6.6015887,-5.1195765,6.631364,5.1297226
20220125_140404,8.690673574,17.63771248,0.044058833,6.496293,-5.2729754,6.5228825,5.2819104
20220125_140405,8.681577575,17.78212357,0.062003613,6.4541187,-5.319957,6.481916,5.332669
20220125_140405,8.661254197,17.63428688,0.059672054,6.4171557,-5.345381,6.4411387,5.353777
20220125_140406,8.647678086,17.63546944,0.043690406,6.383325,-5.349549,6.4137297,5.354608
20220125_140406,8.676506828,17.66353798,0.080837615,6.407966,-5.3686285,6.434087,5.375452
20220125_140407,8.677575969,17.48593712,0.056026749,6.4056396,-5.3656926,6.435087,5.380458
20220125_140407,8.606238837,17.54815865,0.037418306,6.356489,-5.312505,6.387915,5.328085
20220125_140408,8.670086362,17.64588547,0.041046072,6.3954425,-5.360076,6.4245863,5.372861
20220125_140408,8.630110228,17.56808472,0.068881251,6.3717737,-5.334398,6.3978415,5.3445153
20220125_140409,8.640480248,17.47827911,0.03123986,6.392537,-5.3207135,6.419337,5.3379173
20220125_140409,8.675832567,17.45223236,0.030062029,6.41375,-5.354415,6.4419007,5.3670073
20220125_140410,8.659897887,17.7484417,0.062561788,6.412169,-5.336475,6.43892,5.3482165
20220125_140410,8.636953652,17.5021286,0.053642645,6.4021792,-5.3089843,6.4294567,5.322761
20220125_140411,8.667980993,17.72049332,0.069193318,6.410591,-5.343906,6.4387846,5.35562
20220125_140411,8.665658273,17.76317978,0.061437652,6.425004,-5.3314166,6.455275,5.342639
20220125_140412,8.693410931,17.62336922,0.103410117,6.3729076,-5.427621,6.402036,5.443079
20220125_140412,8.588448788,17.20516777,0.070018105,6.241376,-5.423157,6.2742724,5.443627
20220125_140413,8.471272995,17.27031708,0.038349804,6.1018314,-5.419851,6.1303744,5.44021
20220125_140413,8.355778013,16.47194862,0.022487691,5.946222,-5.4246016,5.9834614,5.4521527
20220125_140414,8.231734111,16.51338959,0.050269984,5.7853236,-5.4059987,5.8273892,5.4448223
20220125_140414,8.070961592,16.75183678,0.040596902,5.6167254,-5.3590107,5.660107,5.3981028
20220125_140415,7.976051565,16.37860489,0.030697957,5.46107,-5.3813624,5.5087523,5.426594
20220125_140415,7.837241744,16.07569313,0.079215027,5.294539,-5.3633285,5.3424163,5.415006
20220125_140416,7.667364566,16.26767349,0.039162718,5.124279,-5.290227,5.1799455,5.3455796
20220125_140416,7.508596611,16.67630196,0.070548736,4.9619546,-5.235627,5.0250573,5.2863126
20220125_140417,7.268191048,16.88929176,0.048762914,4.6930456,-5.152276,4.7726502,5.1994815
20220125_140417,7.037789396,17.21847725,0.044921797,4.493769,-5.0340643,4.5752616,5.0801415
20220125_140417,6.761427886,16.50975609,0.034057423,4.2524695,-4.864181,4.3512874,4.9093385
20220125_140418,6.744305062,15.76048851,0.02332392,4.2398105,-4.8573337,4.338229,4.9045043
20220125_140418,6.518606809,15.79194641,0.02393518,4.047336,-4.727025,4.1386776,4.77266
20220125_140419,6.276288791,14.87318039,0.002037423,3.8427765,-4.570775,3.9451394,4.6177135
20220125_140419,6.145977438,15.13963127,0.077330194,3.734118,-4.4925327,3.8333917,4.534478
20220125_140420,5.954982112,15.58497524,0.027940532,3.558683,-4.355526,3.6773016,4.4103847
20220125_140420,5.78483427,15.83346272,0.036217052,3.4568644,-4.255452,3.5535355,4.305744
20220125_140421,5.520653782,16.36684799,0.034657516,3.2353456,-4.057457,3.3585346,4.1137443
20220125_140421,5.312349352,16.29067421,0.006590505,3.0910711,-3.8809736,3.2037847,3.9591928
20220125_140422,5.1277612,16.03812408,0.009970818,2.9711957,-3.6877768,3.1017997,3.796738
20220125_140422,4.911536935,15.93833733,0.004783724,2.8383389,-3.4786508,2.9670022,3.62636
20220125_140423,4.745610326,16.36846542,0.002263698,2.7108839,-3.3311708,2.8506355,3.5161462
20220125_140423,4.580146865,15.35781097,0.017190281,2.602855,-3.1645863,2.7300167,3.386982
20220125_140424,4.482771384,13.90332508,0.012862626,2.5343928,-3.0718415,2.6841345,3.2976668
20220125_140424,4.392510887,13.46866798,0.004662285,2.4955506,-2.9966884,2.633951,3.2274702
20220125_140425,4.394920662,13.64206219,0.004654129,2.4838896,-2.993063,2.629268,3.2325392
20220125_140425,4.385515258,14.50599194,0.003829303,2.5050335,-2.9646597,2.6428897,3.2143056
20220125_140426,4.464316088,13.58316517,0.011371625,2.529702,-3.041254,2.677967,3.2791862
20220125_140426,4.472607828,13.31243038,0.01006144,2.5616622,-3.0358684,2.7007465,3.2776399
20220125_140427,4.406923744,13.22006893,0.016430376,2.491821,-2.9928355,2.6469595,3.226573
20220125_140427,4.435693261,13.91172981,0.010122085,2.5166297,-3.024663,2.6563184,3.2610235
20220125_140428,4.417550227,12.91740704,0.009395662,2.5131686,-2.9923954,2.6582608,3.239289
20220125_140428,4.403173747,13.0772953,0.022903392,2.5171661,-2.9685378,2.6713853,3.2080598
20220125_140429,4.434683461,13.5915947,0.02044072,2.4998965,-3.0330262,2.6515899,3.2672975
20220125_140429,4.432351372,13.40947628,0.009888902,2.493079,-3.024964,2.6529365,3.2639668
20220125_140430,4.445728571,13.43763542,0.003862223,2.5238094,-3.0380468,2.6721082,3.2640142
20220125_140430,4.384970778,13.67603111,0.015906118,2.4865327,-2.9836483,2.632756,3.2179527
20220125_140431,4.403925998,13.46796131,0.011548505,2.4999833,-3.0112538,2.644976,3.2342775
20220125_140431,4.422540597,13.5030365,0.011367861,2.4991271,-3.0184555,2.6442006,3.2508264
20220125_140432,4.409980439,13.11285591,0.004992102,2.4948063,-3.0061438,2.6519833,3.2298925
20220125_140432,4.419833656,13.04838943,0.007975207,2.508468,-3.0127294,2.6547482,3.2457297
20220125_140433,4.421884004,13.71774864,0.009293757,2.509939,-3.007533,2.6554406,3.2451673
20220125_140433,4.37285187,12.50230217,0.003305741,2.5037398,-2.9611533,2.6469827,3.186219
20220125_140434,4.389111448,13.17528152,0.006714485,2.5100985,-2.980554,2.6480758,3.200029
20220125_140434,4.406790412,13.06830788,0.001854666,2.5091672,-3.008496,2.654627,3.2253883
20220125_140435,4.419192395,14.39293957,0.003324418,2.5045106,-3.0159378,2.6474667,3.2499263
20220125_140435,4.462381824,13.40491772,0.01110098,2.5511484,-3.0370545,2.6958365,3.2688575
20220125_140436,4.415865339,13.23036003,0.01038313,2.5173771,-2.9939563,2.672682,3.2226276
20220125_140436,4.395165291,13.90385628,0.01442605,2.4809227,-2.9829223,2.6435688,3.2226074
20220125_140437,4.419766327,13.41076565,0.005900147,2.5101094,-3.0309591,2.6583345,3.232422
20220125_140437,4.456279967,13.64410019,0.004859058,2.5433738,-3.0460021,2.6894193,3.268693
20220125_140438,4.4413834,13.29203892,0.002299195,2.5398061,-3.018682,2.67928,3.2451928
20220125_140438,4.424385453,13.37836742,0.001516044,2.5180056,-3.0085917,2.660845,3.248329
20220125_140439,4.427247703,13.15109825,0.004395409,2.5132184,-3.0007718,2.6709728,3.2404532
20220125_140439,4.446365077,13.66770267,0.013573732,2.5211704,-3.0278847,2.6771932,3.2576597
20220125_140440,4.391384306,13.17105103,0.001829283,2.4819224,-2.959422,2.646197,3.2139034
20220125_140440,4.413923327,12.74401379,0.005972858,2.520115,-2.9996693,2.655898,3.229334
20220125_140441,4.453468334,13.29054356,0.008159404,2.5346558,-3.0332046,2.6889112,3.2574034
20220125_140441,4.433366859,13.07261467,0.001053961,2.5166101,-3.0180097,2.6614423,3.2570734
20220125_140442,4.415684606,14.22749519,0.008974733,2.5054207,-3.0133774,2.6554985,3.2327428
20220125_140442,4.426761212,13.31112099,0.008058856,2.5068746,-3.017711,2.6536136,3.2503302
20220125_140443,4.417441159,14.11494637,0.008780029,2.5237253,-2.9871924,2.6684198,3.2259595
20220125_140443,4.442877155,13.39867878,0.004890406,2.518018,-3.0331447,2.6570573,3.2709224
20220125_140443,4.403165228,12.65806866,0.004719416,2.493067,-2.9674172,2.6662734,3.2027624
20220125_140444,4.405492678,12.64134693,0.003550153,2.5041873,-2.9774091,2.65831,3.2154984
20220125_140444,4.438152045,13.17422104,0.00840348,2.5168695,-3.0240827,2.6654046,3.2563043
20220125_140445,4.410438558,13.23448467,0.008755885,2.5076654,-2.9891555,2.6649594,3.2172318
20220125_140445,4.404354463,13.51997471,0.008717567,2.5071976,-2.9758027,2.6558495,3.2177904
20220125_140446,4.421139004,13.12762642,0.014923647,2.5149915,-2.996594,2.659855,3.2460978
20220125_140446,4.414455262,13.13683414,0.004845982,2.5082242,-3.010295,2.656107,3.2353847
20220125_140447,4.339772961,13.71984863,0.012424776,2.442159,-2.9402761,2.5990257,3.1851838
20220125_140447,4.166914622,12.59409809,0.005339604,2.3090904,-2.7691061,2.4725838,3.0579138
20220125_140448,4.048291741,12.79427052,0.000952446,2.2448573,-2.6357582,2.4096467,2.9485412
