time,,,,hor,,horabs,,,horabs,
20220125_154419,0.147144984,0.508728385,0.00052058,-0.020351717,0.11468285,0.06090527,0.12364517,,-0.00374473,0.014633613
20220125_154419,0.136403138,0.582774341,0.000272006,-0.011196369,0.103712656,0.059434257,0.111465916,,-0.005215743,0.014633613
20220125_154419,0.132802167,0.575508595,0.000367487,-0.016630335,0.09129407,0.062467165,0.10513087,,-0.002182835,0.014633613
20220125_154420,0.126550858,0.538830757,0.000369563,-0.04021607,0.07891296,0.06572268,0.09452398,,0.00107268,0.014633613
20220125_154420,0.142613162,0.472048998,8.66E-05,-0.03938907,0.1017847,0.06770703,0.113886036,,0.00305703,0.014633613
20220125_154421,0.112740332,0.667404294,0.000108926,-0.022428574,0.06935326,0.056576993,0.08593042,,-0.008073007,0.014633613
20220125_154421,0.129318454,0.505399644,0.000250533,-0.034713052,0.08798834,0.063137956,0.100986354,,-0.001512044,0.014633613
20220125_154422,0.150054242,0.505933404,0.000795539,-0.036487676,0.1128981,0.06843156,0.12247422,,0.00378156,0.014633613
20220125_154422,0.135860187,0.572644651,0.000359241,-0.014857706,0.10395666,0.060577296,0.11124892,,-0.004072704,0.014633613
20220125_154423,0.14036164,0.635524571,0.000168902,-0.031792913,0.109636694,0.059243463,0.11740126,,-0.005406537,0.014633613
20220125_154423,0.161425823,0.506830871,0.000267385,-0.02312368,0.13278769,0.061557643,0.14041443,,-0.003092357,0.014633613
20220125_154423,0.152066713,0.527329326,7.33E-05,-0.030416237,0.12267432,0.062050752,0.12948418,,-0.002599248,0.014633613
20220125_154424,0.236927132,0.681351721,0.001805827,-0.0181198,0.22052504,0.056115955,0.22399378,,-0.008534045,0.014633613
20220125_154424,0.290191875,0.975526094,0.001603451,-0.02383721,0.27729705,0.059800845,0.27850947,,-0.004849155,0.014633613
20220125_154425,0.386533524,0.760164976,0.003173981,-0.022903936,0.37740573,0.060796272,0.37805164,,-0.003853728,0.014633613
20220125_154425,0.448842069,0.801496029,0.000326606,-0.08034342,0.4344692,0.091662414,0.43484288,,0.027012414,0.014633613
20220125_154426,0.627024361,1.060323119,0.000556903,-0.09161556,0.6145384,0.102724,0.6145415,,0.038074,0.014633613
20220125_154426,0.91863941,1.337891698,0.0026561,-0.053817514,0.9134812,0.07563902,0.9134812,,0.01098902,0.014633613
20220125_154427,1.134422519,1.611903191,0.012632249,0.007395309,1.1317638,0.057712246,1.1317638,,-0.006937754,0.014633613
20220125_154427,1.306518776,1.595131397,0.007791208,-0.039397746,1.3036312,0.06547197,1.3036312,,0.00082197,0.014633613
20220125_154427,1.55399878,1.947427273,0.005577082,-0.035999566,1.5515075,0.06745331,1.5515075,,0.00280331,0.014633613
20220125_154428,1.746846269,2.097729445,0.020250078,-0.059128124,1.7437509,0.08143124,1.7437509,,0.01678124,0.014633613
20220125_154428,1.936342956,2.270598412,0.009687998,-0.07286281,1.9335681,0.08493989,1.9335681,,0.02028989,0.014633613
20220125_154429,2.158499915,2.692156076,0.01488198,-0.06279234,2.1562562,0.07737882,2.1562562,,0.01272882,0.014633613
20220125_154429,2.360270001,2.848614454,0.038762793,-0.049711257,2.3582785,0.07579301,2.3582785,,0.01114301,0.014633613
20220125_154430,2.531458469,3.064911366,0.024060413,-0.082628354,2.5287695,0.095897414,2.5287695,,0.031247414,0.014633613
20220125_154430,2.754614508,3.347244024,0.022194529,-0.07894644,2.752204,0.09493003,2.752204,,0.03028003,0.014633613
20220125_154431,2.949078968,3.46207881,0.024194323,-0.07617217,2.9469986,0.09003218,2.9469986,,0.02538218,0.014633613
20220125_154431,3.179890345,3.863433838,0.034076311,-0.0733034,3.1780627,0.087290965,3.1780627,,0.022640965,0.014633613
20220125_154432,3.372462059,3.865560293,0.023238072,-0.056382682,3.370965,0.07927005,3.370965,,0.01462005,0.014633613
20220125_154432,3.538543884,4.030580997,0.021225601,-0.0621896,3.5370345,0.08083532,3.5370345,,0.01618532,0.014633613
20220125_154432,3.776073127,4.521355629,0.03337346,-0.06526842,3.774522,0.08513533,3.774522,,0.02048533,0.014633613
20220125_154433,4.001404027,4.493641853,0.048591666,-0.055608448,4.000115,0.07911377,4.000115,,0.01446377,0.014633613
20220125_154433,4.242220899,4.773543835,0.02197009,-0.06432816,4.2409678,0.08141154,4.2409678,,0.01676154,0.014633613
20220125_154434,4.409704205,5.062616825,0.028660843,-0.06265527,4.4084487,0.08275561,4.4084487,,0.01810561,0.014633613
20220125_154434,4.612008453,5.229889393,0.023908723,-0.058271192,4.6109176,0.079671666,4.6109176,,0.015021666,0.014633613
20220125_154435,4.781536844,5.355934143,0.025931397,-0.061598785,4.7803507,0.083459005,4.7803507,,0.018809005,0.014633613
20220125_154435,4.950824501,5.504332066,0.033827484,-0.08319434,4.9494452,0.09611059,4.9494452,,0.03146059,0.014633613
20220125_154436,5.08764919,5.661336899,0.036252998,-0.053059705,5.086704,0.076282054,5.086704,,0.011632054,0.014633613
20220125_154436,5.16713605,5.734071255,0.046180263,-0.05735211,5.16622,0.077645995,5.16622,,0.012995995,0.014633613
20220125_154437,5.188313688,5.705527782,0.056762852,-0.08060782,5.186976,0.09591189,5.186976,,0.03126189,0.014633613
20220125_154437,5.254815872,6.293196678,0.022223949,-0.0715783,5.2537227,0.087003075,5.2537227,,0.022353075,0.014633613
20220125_154438,5.24333614,5.833397388,0.033323005,-0.09711819,5.2418036,0.10880721,5.2418036,,0.04415721,0.014633613
20220125_154438,5.277997062,5.937238216,0.063177541,-0.07223066,5.2768865,0.08761327,5.2768865,,0.02296327,0.014633613
