time,,,,hor,,horabs,,,,,hor-,horabs-
20220125_153140,10.16808125,11.36305714,0.090771191,-0.035842825,10.167535,0.07935877,10.167535,,,,-0.042266825,0.013368391
20220125_153140,10.38131668,11.50626469,0.125524789,-0.04195332,10.380761,0.08127633,10.380761,,,,-0.04837732,0.015285951
20220125_153141,10.67150791,11.72381401,0.154026985,-0.055079494,10.6709,0.08913176,10.6709,,,,-0.061503494,0.023141381
20220125_153141,10.9179896,11.86685848,0.222147122,-0.09159817,10.917159,0.109665595,10.917159,,,,-0.09802217,0.043675216
20220125_153142,11.20814441,12.08243752,0.127251595,-0.07033358,11.207507,0.09503287,11.207507,,,,-0.07675758,0.029042491
20220125_153142,11.50615053,12.38234711,0.160216466,-0.07428042,11.5055275,0.095054105,11.5055275,,,,-0.08070442,0.029063726
20220125_153143,11.71530778,12.53245258,0.116170883,-0.07628549,11.71467,0.096290745,11.71467,,,,-0.08270949,0.030300366
20220125_153143,11.94312998,12.70043659,0.161677137,-0.078143865,11.942399,0.10418346,11.942399,,,,-0.084567865,0.038193081
20220125_153144,12.08542829,12.79822731,0.260126144,-0.0663249,12.084859,0.09040932,12.084859,,,,-0.0727489,0.024418941
20220125_153144,12.2484561,13.19299889,0.149918541,-0.053580165,12.247888,0.08669504,12.247888,,,,-0.060004165,0.020704661
20220125_153144,12.33968365,13.33200741,0.204151258,-0.058835484,12.339092,0.09063827,12.339092,,,,-0.065259484,0.024647891
20220125_153145,12.44117201,13.21669769,0.17441152,-0.08541324,12.440465,0.10661453,12.440465,,,,-0.09183724,0.040624151
20220125_153145,12.568448,13.38678169,0.189137295,-0.09432572,12.5676565,0.11276119,12.5676565,,,,-0.10074972,0.046770811
20220125_153146,12.69003134,13.54028988,0.180027053,-0.08163609,12.689314,0.102776825,12.689314,,,,-0.08806009,0.036786446
20220125_153146,12.8295639,13.63651657,0.198049888,-0.08021232,12.828799,0.10741707,12.828799,,,,-0.08663632,0.041426691
20220125_153147,12.86259945,13.64164257,0.241648987,-0.09862821,12.861797,0.11490004,12.861797,,,,-0.10505221,0.048909661
20220125_153147,12.90154188,13.72778416,0.199887633,-0.08588307,12.900863,0.1045223,12.900863,,,,-0.09230707,0.038531921
20220125_153148,12.93627329,13.78238869,0.206830367,-0.078100465,12.935627,0.09815543,12.935627,,,,-0.084524465,0.032165051
20220125_153148,12.99826455,13.80733776,0.171485528,-0.09461554,12.997472,0.11376534,12.997472,,,,-0.10103954,0.047774961
20220125_153149,12.99942819,13.89643288,0.286499828,-0.095176086,12.99865,0.10986446,12.99865,,,,-0.101600086,0.043874081
20220125_153149,12.97735771,13.85301018,0.36742416,-0.10940063,12.976468,0.123801894,12.976468,,,,-0.11582463,0.057811515
20220125_153150,12.98082207,13.86294842,0.244476423,-0.07525196,12.980145,0.10157582,12.980145,,,,-0.08167596,0.035585441
20220125_153150,12.99094561,13.83859062,0.18973659,-0.107930884,12.990013,0.12331006,12.990013,,,,-0.114354884,0.057319681
20220125_153151,12.9756115,13.85147762,0.233773246,-0.08347896,12.974899,0.10558978,12.974899,,,,-0.08990296,0.039599401
20220125_153151,12.98116125,13.96586609,0.188231036,-0.10327854,12.980324,0.118678145,12.980324,,,,-0.10970254,0.052687766
20220125_153152,13.00315647,13.83619595,0.151090249,-0.09150328,13.002354,0.11046886,13.002354,,,,-0.09792728,0.044478481
20220125_153152,13.01041944,13.7723999,0.220825762,-0.08616535,13.009649,0.10954014,13.009649,,,,-0.09258935,0.043549761
20220125_153153,12.98637546,13.85297585,0.195404738,-0.11499775,12.985472,0.12620904,12.985472,,,,-0.12142175,0.060218661
